damage.function,gas,discount.rate,emissions.year,scghg
MimiIWG,HFC143a,3%,2087,979343
MimiIWG,HFC143a,3%,2088,986408
MimiIWG,HFC143a,3%,2089,993473
MimiIWG,HFC143a,3%,2090,1000537
MimiIWG,HFC143a,3%,2091,1007878
MimiIWG,HFC143a,3%,2092,1015218
MimiIWG,HFC143a,3%,2093,1022558
MimiIWG,HFC143a,3%,2094,1029898
MimiIWG,HFC143a,3%,2095,1037239
MimiIWG,HFC143a,3%,2096,1044579
MimiIWG,HFC143a,3%,2097,1051919
MimiIWG,HFC143a,3%,2098,1059259
MimiIWG,HFC143a,3%,2099,1066600
MimiIWG,HFC143a,3%,2100,1073940
MimiIWG,HFC152a,2%,2020,9465
MimiIWG,HFC152a,2%,2021,9749
MimiIWG,HFC152a,2%,2022,10033
MimiIWG,HFC152a,2%,2023,10316
MimiIWG,HFC152a,2%,2024,10600
MimiIWG,HFC152a,2%,2025,10883
MimiIWG,HFC152a,2%,2026,11167
